label,problem,algorithm,mode,variation,dvl_fraction,m,problem_k,max_evaluations,seed,cpu_time_seconds,model_training_time,real_evaluation_time,objective_calls,dvl_evaluations,moea_evaluations,sample_size,estimated_points,population_size_final,hypervolume,status,error_message
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,42,0.0602567860041745,0.0,0.007840034129912965,250,0,250,0,0,22,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,42,0.38971907801169436,0.2664141119894339,0.011183148904819973,250,62,188,31,31,22,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,42,0.7126347839948721,0.5557672439754242,0.007860384081141092,250,125,125,63,62,23,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,42,0.996323596991715,0.8202535940654343,0.007815872828359716,278,188,90,97,91,91,0.056811526549970175,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,43,0.05767612499766983,0.0,0.007734650993370451,250,0,250,0,0,20,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,43,0.2727505980001297,0.19061636095284484,0.007039809876005165,250,62,188,31,31,18,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,43,0.5416651099949377,0.4237383789732121,0.006273324033827521,250,125,125,63,62,26,0.23552994313416614,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,43,1.0145882369979518,0.8417032580182422,0.006948699010536075,278,188,90,97,91,91,0.28346977250371164,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,44,0.049387281003873795,0.0,0.006897209052112885,250,0,250,0,0,22,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,44,0.2724619500077097,0.1884642630320741,0.007083115997374989,250,62,188,31,31,31,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,44,0.549010521004675,0.4294389579881681,0.006502162010292523,250,125,125,63,62,26,0.1983098664605436,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,44,0.9122896199987736,0.7527775759372162,0.0068573101598303765,278,188,90,97,91,91,0.1979000805956086,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,45,0.04782661701028701,0.0,0.0066383949015289545,250,0,250,0,0,22,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,45,0.2605733189993771,0.18100649600091856,0.006492407788755372,250,62,188,31,31,14,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,45,0.5230925649957499,0.41018628199526574,0.00627480294497218,250,125,125,63,62,17,0.023562840303168124,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,45,0.9171633869991638,0.7576910109783057,0.006796543006203137,278,188,90,97,91,91,0.37853102913003295,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,46,0.04751754998869728,0.0,0.006682208884740248,250,0,250,0,0,27,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,46,0.25890099300886504,0.18194422000669874,0.00640194107836578,250,62,188,31,31,23,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,46,0.547433033993002,0.43047755102452356,0.006338872102787718,250,125,125,63,62,16,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,46,0.9036241720023099,0.7464794830157189,0.006707217180519365,278,188,90,97,91,91,0.3413570290136825,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,47,0.04509295499883592,0.0,0.006556023043231107,250,0,250,0,0,18,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,47,0.24960577899764758,0.17383886501193047,0.006337186059681699,250,62,188,31,31,9,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,47,0.5174511799996253,0.40578875894425437,0.006146319967228919,250,125,125,63,62,25,0.11778594044203716,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,47,0.8947745740006212,0.739181119875866,0.006765629048459232,278,188,90,97,91,91,0.32390230208630955,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,48,0.04501225199783221,0.0,0.006463511977926828,250,0,250,0,0,21,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,48,0.2488788480113726,0.1730875630164519,0.0064053649111883715,250,62,188,31,31,25,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,48,0.5160709390038392,0.4044631419383222,0.006166684033814818,250,125,125,63,62,25,0.0,success,
